shop_id,category_id,longitude,latitude,price,mall_id
s_26,c_4,122.346736,31.833507,57,m_690
s_133,c_6,121.134362,31.197511,58,m_6587
s_251,c_38,121.000505,30.907667,34,m_5892
s_372,c_30,119.864982,26.659876,44,m_625
s_456,c_26,122.594243,31.581499,44,m_3839
s_462,c_47,115.088969,30.690787,58,m_3739
s_469,c_50,121.963123,31.652801,64,m_1293
s_496,c_47,120.746132,30.815237,62,m_1175
s_729,c_6,119.326859,32.644347,58,m_2182
s_775,c_26,121.000467,30.908378,44,m_5892
s_780,c_10,109.290934,35.182862,58,m_2058
s_796,c_24,119.043921,25.206702,62,m_3871
s_828,c_33,121.13559,31.198061,50,m_6587
s_831,c_29,122.25556,31.351596,46,m_3005
s_865,c_1,119.327495,32.64401,55,m_2182
s_884,c_50,121.000311,30.908279,47,m_5892
s_909,c_47,118.730677,32.449683,61,m_822
s_911,c_48,109.290442,35.182515,58,m_2058
s_935,c_38,118.729945,32.449551,46,m_822
s_1017,c_1,118.72762,32.451358,63,m_822
s_1023,c_48,109.093465,34.396183,59,m_2467
s_1063,c_48,119.042928,25.206862,59,m_3871
s_1083,c_56,109.092627,34.396306,56,m_2467
s_1126,c_36,121.963312,31.652936,51,m_1293
s_1144,c_42,121.963045,31.653327,69,m_1293
s_1204,c_47,120.554949,30.851909,68,m_4406
s_1332,c_2,113.564575,23.159182,58,m_909
s_1550,c_28,121.00034,30.907891,45,m_5892
s_1559,c_49,113.563049,23.158201,73,m_909
s_1587,c_1,122.347116,31.834759,60,m_690
s_1596,c_38,120.355184,32.350688,32,m_4923
s_1611,c_49,106.963982,29.795944,68,m_2224
s_1616,c_49,120.493551,36.453217,62,m_2333
s_1670,c_42,121.002028,30.907055,72,m_5892
s_1756,c_27,122.346919,31.833567,44,m_690
s_1852,c_28,121.001035,30.907101,42,m_5892
s_1872,c_38,117.365892,40.638892,54,m_4079
s_1917,c_10,119.043171,25.207259,55,m_3871
s_1961,c_56,109.291026,35.182931,55,m_2058
s_2109,c_50,113.563989,23.158426,57,m_909
s_2204,c_38,122.255627,31.35141,46,m_3005
s_2258,c_38,122.346777,31.833647,50,m_690
s_2260,c_49,109.093432,34.396463,57,m_2467
s_2265,c_38,122.346113,31.834622,50,m_690
s_2286,c_14,118.192122,32.856825,44,m_5085
s_2392,c_49,122.181894,32.182508,61,m_2415
s_2404,c_38,121.961607,31.650954,46,m_1293
s_2425,c_6,120.746224,30.815252,70,m_1175
s_2482,c_1,121.956067,39.588814,58,m_4543
s_2527,c_11,116.861977,40.326714,62,m_7168
s_2562,c_42,122.594126,31.581381,71,m_3839
s_2566,c_11,117.360892,40.6385,63,m_4079
s_2588,c_15,117.812459,39.618442,62,m_2123
s_2673,c_30,121.955583,39.588945,47,m_4543
s_2763,c_38,116.088058,28.77174,49,m_4572
s_3221,c_49,122.346859,31.833882,73,m_690
